trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,hour
2019-12-13 05:41:26,378278619832195,fraud_Dach-Nader,misc_net,3.17,F,Eugene,OR,97403,44.0385,-123.0614,191096,"Scientist, physiological",1964-04-06,44.716305,-123.984986,0,6
2020-03-11 22:31:29,4725837176265195730,fraud_Torphy-Goyette,shopping_pos,16.37,F,Jay,FL,32565,30.8985,-87.1332,5719,Higher education careers adviser,1994-11-05,30.635023,-88.086411,0,23
2019-11-12 01:08:37,373905417449658,fraud_Bruen-Yost,misc_pos,8.54,F,Meridian,TX,76665,31.929,-97.6443,2526,Phytotherapist,1970-11-12,32.399693,-97.414423,0,2
2020-04-27 13:59:23,2305336922781618,fraud_Terry Ltd,home,140.66,M,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,40.467099,-92.329573,0,14
2020-03-14 05:28:44,3565196229855512,fraud_Stracke-Lemke,grocery_pos,85.19,F,Unionville,MO,63565,40.4815,-92.9951,3805,"Investment banker, corporate",1950-09-15,40.212465,-93.464464,0,6
2020-04-22 20:07:53,371034293500716,"fraud_Gutmann, McLaughlin and Wiza",home,59.07,M,Vinton,CA,96135,40.0235,-120.7986,128,Education administrator,1966-02-21,39.094057,-120.448995,0,21
2020-05-26 15:02:59,30263540414123,fraud_Hyatt-Blick,travel,3.81,M,Hatch,UT,84735,37.7175,-112.4777,258,Geoscientist,1961-11-24,37.07022,-111.536029,0,16
2019-10-28 09:25:39,30143535920989,"fraud_Streich, Hansen and Veum",gas_transport,60.68,F,Bridgeport,NJ,8014,39.8016,-75.3478,504,"Engineer, control and instrumentation",1980-08-17,40.121118,-75.829091,0,10
2019-04-11 19:29:18,630451534402,fraud_Schaefer Ltd,kids_pets,7.6,F,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,1972-06-12,45.838059,-87.20151800000001,0,20
2019-12-22 13:53:47,3547560454237873,fraud_Ziemann-Waters,health_fitness,44.49,M,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",1966-12-21,43.921358000000005,-85.398616,0,14
2019-05-28 21:54:26,6011724471098086,"fraud_Kuhic, Bins and Pfeffer",shopping_net,6.99,F,Burbank,WA,99323,46.1966,-118.9017,3684,Musician,1981-11-29,45.245086,-118.943257,0,22
2019-01-21 05:34:27,4653879239169997,fraud_Bailey-Morar,grocery_pos,53.83,F,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",1999-06-06,36.849261,-85.668367,0,6
2019-11-04 09:44:44,3537797820923602,"fraud_Christiansen, Goyette and Schamberger",gas_transport,63.13,F,Monitor,WA,98836,47.4852,-120.4158,584,Medical technical officer,1969-03-20,47.664808,-120.015294,0,10
2020-02-21 00:28:59,5540636818935089,fraud_Torp-Labadie,gas_transport,74.24,M,Lawrence,MA,1843,42.6911,-71.1605,76383,Geoscientist,1985-04-04,43.582214,-71.339072,0,1
2019-08-01 22:56:42,375082648741747,fraud_Gottlieb Group,kids_pets,10.43,F,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,47.299063,-97.456901,0,23
2020-01-29 21:12:02,3564839259330465,fraud_Altenwerth-Kilback,home,82.11,M,Port Costa,CA,94569,38.046,-122.1866,198,Armed forces training and education officer,1959-03-31,38.734936,-123.162147,0,22
2019-08-11 15:22:10,38052002992326,fraud_Bruen-Yost,misc_pos,72.0,F,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,1995-09-11,30.810122,-95.139658,0,16
2019-04-21 14:20:19,4048508450704760,fraud_Kemmer-Buckridge,misc_pos,9.12,F,Fullerton,NE,68638,41.36600000000001,-98.0054,1749,"Surveyor, mining",1973-05-07,41.374089,-97.604321,0,15
