,trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,hour,no_of_misclass
101,2019-01-01 17:19:51,3514897282719543,fraud_Cormier LLC,health_fitness,24.75,M,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13 00:00:00,42.641638,-76.902462,0,17,1
134,2019-01-01 21:12:01,3585052663373890,fraud_Bahringer Group,health_fitness,106.22,M,West Eaton,NY,13484,42.8546,-75.6605,176,Science writer,1963-12-28 00:00:00,43.33188,-76.48236,0,21,1
138,2019-01-01 21:23:29,180058696935600,fraud_Jerde-Hermann,travel,5.21,M,De Lancey,NY,13752,42.18899999999999,-74.9229,782,Chartered accountant,2000-08-28 00:00:00,43.178184,-75.885184,0,21,1
580,2019-01-06 17:49:40,346208242862904,"fraud_McDermott, Osinski and Morar",home,21.65,F,New York City,NY,10280,40.7105,-74.0163,1577385,"Pharmacist, hospital",1961-05-13 00:00:00,41.314483,-73.757026,0,17,1
622,2019-01-06 23:31:03,5104807169438134,fraud_Hyatt-Blick,travel,5.12,F,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08 00:00:00,41.528181,-73.1822,0,23,1
807,2019-01-08 05:15:39,5104807169438134,"fraud_Lehner, Mosciski and King",misc_net,188.71,F,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08 00:00:00,41.616289,-73.413219,0,5,1
878,2019-01-08 16:57:34,213113028819344,fraud_Kilback Group,food_dining,51.34,F,Camden,NY,13316,43.3392,-75.7543,6460,Building control surveyor,1959-09-27 00:00:00,44.164548,-75.251306,0,16,1
940,2019-01-09 00:32:56,4859525594182537,fraud_Hackett-Lueilwitz,grocery_pos,346.69,F,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25 00:00:00,41.300248,-74.022048,1,0,1
983,2019-01-09 18:12:16,5104807169438134,fraud_Schimmel-Olson,kids_pets,74.7,F,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08 00:00:00,41.770098,-73.642482,0,18,1
1034,2019-01-10 08:10:53,30407675418785,fraud_Kling Inc,gas_transport,61.04,F,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,1991-10-13 00:00:00,42.037319,-76.841647,0,8,1
1062,2019-01-10 16:34:22,30235268718158,"fraud_O'Reilly, Mohr and Purdy",home,28.48,M,West Harrison,NY,10604,41.0592,-73.7395,11250,Lexicographer,1977-08-16 00:00:00,40.059528,-73.559824,0,16,1
1310,2019-01-13 08:42:19,3585052663373890,fraud_Kris-Padberg,shopping_pos,341.47,M,West Eaton,NY,13484,42.8546,-75.6605,176,Science writer,1963-12-28 00:00:00,43.383916,-76.17889,0,8,1
1575,2019-01-14 23:59:32,30404291151692,fraud_Baumbach Ltd,personal_care,16.9,F,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,1993-10-25 00:00:00,42.458614,-78.170272,0,23,1
1593,2019-01-15 04:19:32,3598215285024754,fraud_Cummings Group,grocery_net,78.87,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,40.307212,-72.866823,0,4,1
1802,2019-01-17 03:46:47,639023984367,"fraud_Kerluke, Considine and Macejkovic",misc_net,6.68,F,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05 00:00:00,45.198258,-75.390196,0,3,1
2216,2019-01-21 13:31:05,4646845581490336108,fraud_Stark-Koss,home,47.51,F,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25 00:00:00,39.77038,-73.170108,0,13,1
2223,2019-01-21 14:09:46,213124978348176,fraud_Yost-Rogahn,personal_care,59.84,M,Belfast,NY,14711,42.32,-78.0943,1766,Mechanical engineer,1962-06-04 00:00:00,42.858405,-79.057249,0,14,1
2243,2019-01-21 16:27:12,3551217896304745,"fraud_Watsica, Haag and Considine",shopping_pos,9.09,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09 00:00:00,43.746045,-74.255255,0,16,1
2309,2019-01-22 02:22:50,3559160581764413,fraud_DuBuque LLC,grocery_pos,86.97,M,Saint Bonaventure,NY,14778,42.2701,-78.6847,1453,Toxicologist,1974-02-15 00:00:00,42.159456,-78.93610699999999,0,2,1
2363,2019-01-22 12:55:33,3559160581764413,"fraud_Crist, Jakubowski and Littel",home,91.25,M,Saint Bonaventure,NY,14778,42.2701,-78.6847,1453,Toxicologist,1974-02-15 00:00:00,41.484937,-78.56925799999999,0,12,1
2377,2019-01-22 14:36:59,340951438290556,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,33.96,F,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02 00:00:00,41.322726,-74.49384,0,14,1
2698,2019-01-25 21:21:34,4254074738931278,"fraud_Cronin, Kshlerin and Weber",health_fitness,89.91,M,Allentown,NY,14707,42.0737,-78.0594,239,Radio producer,1956-05-02 00:00:00,41.517818,-78.380935,0,21,1
2966,2019-01-28 00:17:56,213113028819344,fraud_Abshire PLC,entertainment,18.42,F,Camden,NY,13316,43.3392,-75.7543,6460,Building control surveyor,1959-09-27 00:00:00,43.400737,-76.49505400000001,0,0,1
3019,2019-01-28 07:32:42,180040027502291,fraud_Hermann-Gaylord,misc_pos,4.69,F,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,1957-12-29 00:00:00,40.348579,-73.49396999999999,0,7,1
3056,2019-01-28 14:35:59,4904681492230012,fraud_Jewess LLC,shopping_pos,6.13,F,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19 00:00:00,41.913297,-73.196005,0,14,1
3227,2019-01-29 15:06:39,3523898249167098,fraud_Kris-Kertzmann,travel,2.99,M,Bronx,NY,10463,40.8798,-73.9067,1382480,"Therapist, drama",1990-11-09 00:00:00,41.727291,-74.62058499999999,0,15,1
3335,2019-01-30 15:27:57,36721445180895,fraud_Schoen Ltd,kids_pets,45.31,M,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1968-07-01 00:00:00,42.917714,-75.204295,0,15,1
3428,2019-01-31 22:54:55,3523898249167098,fraud_Graham and Sons,health_fitness,17.94,M,Bronx,NY,10463,40.8798,-73.9067,1382480,"Therapist, drama",1990-11-09 00:00:00,40.453811,-73.89671899999999,0,22,1
3538,2019-02-02 02:33:43,4740713119940984,fraud_Hamill-Daugherty,misc_net,8.97,F,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,1962-10-16 00:00:00,40.527667,-74.111065,0,2,1
3627,2019-02-03 00:38:03,6523180720198790,fraud_Friesen-Stamm,gas_transport,73.65,M,Oakdale,NY,11769,40.7382,-73.1297,9506,"Biochemist, clinical",1953-04-13 00:00:00,40.124692,-73.856726,0,0,1
3640,2019-02-03 03:07:58,3514897282719543,"fraud_Quitzon, Green and Bashirian",shopping_pos,3.24,M,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13 00:00:00,42.923761,-78.300375,0,3,1
3892,2019-02-04 18:27:14,30407675418785,fraud_Padberg-Sauer,home,85.42,F,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,1991-10-13 00:00:00,41.778306,-76.479461,0,18,1
4301,2019-02-08 15:10:40,371985236239474,fraud_Wilkinson Ltd,entertainment,19.67,M,Oriskany Falls,NY,13425,42.9576,-75.4838,1970,"Programmer, multimedia",1949-06-09 00:00:00,42.280327,-76.241078,0,15,1
4487,2019-02-10 08:56:44,38797410705641,"fraud_Lehner, Mosciski and King",misc_net,106.76,M,Oak Hill,NY,12460,42.4069,-74.1528,277,Glass blower/designer,1971-12-12 00:00:00,42.522051,-74.419315,0,8,1
4879,2019-02-13 12:59:06,30011465039817,fraud_Stiedemann Ltd,food_dining,2.72,F,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,1971-10-14 00:00:00,42.412596,-74.117354,0,12,1
5213,2019-02-17 09:25:51,5104807169438134,"fraud_Towne, Walker and Borer",grocery_net,35.29,F,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08 00:00:00,40.456122,-72.318387,0,9,1
5383,2019-02-18 16:33:20,3567697931646329,fraud_Nienow PLC,entertainment,99.91,M,Hudson,NY,12534,42.247,-73.7552,17867,Travel agency manager,1998-07-29 00:00:00,42.613786,-72.852103,0,16,1
5428,2019-02-18 21:30:09,3567879740649740,fraud_Medhurst Inc,home,249.53,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14 00:00:00,44.005991,-76.915182,0,21,1
5650,2019-02-20 15:01:10,3561963695236764,fraud_Kulas Group,health_fitness,74.91,M,Shelter Island,NY,11964,41.06399999999999,-72.3366,1858,Clinical biochemist,1984-03-03 00:00:00,41.391793,-72.82887099999999,0,15,1
5787,2019-02-22 06:30:20,3551217896304745,fraud_Funk Group,grocery_net,46.8,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09 00:00:00,43.557659,-74.25969599999999,0,6,1
6039,2019-02-24 18:24:24,3533012926413100,"fraud_McCullough, Hudson and Schuster",food_dining,63.73,F,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,1994-03-01 00:00:00,43.415873,-75.001354,0,18,1
6497,2019-02-28 08:01:22,3567879740649740,fraud_Kutch LLC,gas_transport,58.65,F,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14 00:00:00,43.333246,-76.381275,0,8,1
6705,2019-03-01 08:22:47,30407675418785,"fraud_Schaefer, McGlynn and Bosco",gas_transport,58.32,F,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,1991-10-13 00:00:00,42.661093,-76.733284,0,8,1
6843,2019-03-02 10:00:57,2288813824604479,fraud_Auer-Mosciski,grocery_pos,170.62,F,New York City,NY,10039,40.8265,-73.9383,1577385,Herbalist,1981-08-29 00:00:00,41.822856,-73.47278,0,10,1
6959,2019-03-02 21:31:39,30235268718158,"fraud_Becker, Harris and Harvey",personal_care,19.64,M,West Harrison,NY,10604,41.0592,-73.7395,11250,Lexicographer,1977-08-16 00:00:00,40.266636,-72.96990500000001,0,21,1
7010,2019-03-03 05:39:31,4904681492230012,fraud_Prohaska-Murray,gas_transport,77.94,F,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19 00:00:00,41.663761,-73.559658,0,5,1
7248,2019-03-04 16:52:31,213161293389774,fraud_Botsford and Sons,home,19.78,F,West Henrietta,NY,14586,43.0397,-77.6871,10256,"Teacher, primary school",1968-06-24 00:00:00,43.830546000000005,-77.705968,0,16,1
7561,2019-03-07 08:09:30,4646845581490336108,fraud_Hintz-Bruen,grocery_net,62.89,F,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25 00:00:00,40.80016,-74.052324,0,8,1
7729,2019-03-08 19:06:17,639023984367,fraud_O'Connell-Ullrich,home,31.56,F,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05 00:00:00,45.064204,-74.403889,0,19,1
7736,2019-03-08 19:45:01,2296006538441789,"fraud_Hayes, Marquardt and Dibbert",misc_net,8.64,F,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,1999-09-01 00:00:00,39.770239,-73.671777,0,19,1
8158,2019-03-11 02:20:44,3551217896304745,fraud_Dickinson-Rempel,misc_pos,143.95,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09 00:00:00,43.431222,-75.121049,0,2,1
8360,2019-03-12 08:10:00,213161293389774,fraud_Spinka-Welch,grocery_net,94.73,F,West Henrietta,NY,14586,43.0397,-77.6871,10256,"Teacher, primary school",1968-06-24 00:00:00,43.167121,-77.12946,0,8,1
8664,2019-03-15 00:24:45,3598215285024754,fraud_Kerluke PLC,misc_net,84.57,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,39.859451,-74.369063,0,0,1
8667,2019-03-15 01:36:56,30029052116970,"fraud_Lockman, West and Runte",grocery_pos,79.14,M,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09 00:00:00,42.9266,-79.91375,0,1,1
8832,2019-03-16 04:47:18,375237305371366,fraud_Dibbert-Green,entertainment,84.7,M,East Rochester,NY,14445,43.1128,-77.4906,8019,Retail buyer,1928-06-26 00:00:00,42.142689,-76.993154,0,4,1
8871,2019-03-16 10:05:39,342319985983023,fraud_Eichmann-Russel,misc_pos,30.58,M,Margaretville,NY,12455,42.1852,-74.6178,1988,Environmental health practitioner,1978-05-23 00:00:00,42.79306,-74.775532,0,10,1
8896,2019-03-16 13:57:17,342319985983023,fraud_Gleason and Sons,kids_pets,56.22,M,Margaretville,NY,12455,42.1852,-74.6178,1988,Environmental health practitioner,1978-05-23 00:00:00,41.503998,-74.56211400000001,0,13,1
9060,2019-03-17 13:37:56,2288813824604479,fraud_Bernhard-Lesch,food_dining,27.01,F,New York City,NY,10039,40.8265,-73.9383,1577385,Herbalist,1981-08-29 00:00:00,40.310245,-74.78405,0,13,1
9157,2019-03-17 22:56:48,4736845434667908128,fraud_Ullrich Ltd,kids_pets,26.9,F,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23 00:00:00,43.98863,-74.230665,0,22,1
10166,2019-03-25 00:06:11,3551217896304745,fraud_Harber Inc,gas_transport,57.87,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09 00:00:00,44.35063,-74.58113,0,0,1
10898,2019-03-30 19:13:57,4740713119940984,fraud_Barton LLC,kids_pets,73.06,F,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,1962-10-16 00:00:00,41.235276,-73.24983,0,19,1
11079,2019-03-31 19:52:47,371985236239474,fraud_Erdman-Schaden,personal_care,206.06,M,Oriskany Falls,NY,13425,42.9576,-75.4838,1970,"Programmer, multimedia",1949-06-09 00:00:00,43.125398,-76.31552099999999,0,19,1
11309,2019-04-01 23:21:31,2296006538441789,"fraud_Feil, Hilpert and Koss",food_dining,98.47,F,Brooklyn,NY,11217,40.6816,-73.9798,2504700,Medical sales representative,1999-09-01 00:00:00,41.092385,-74.29560699999999,0,23,1
11335,2019-04-02 06:54:26,4646845581490336108,fraud_Murray Ltd,grocery_net,25.92,F,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25 00:00:00,40.902326,-72.33273100000001,0,6,1
11415,2019-04-03 02:29:46,3523898249167098,fraud_Friesen-D'Amore,gas_transport,71.65,M,Bronx,NY,10463,40.8798,-73.9067,1382480,"Therapist, drama",1990-11-09 00:00:00,41.633063,-74.772267,0,2,1
11573,2019-04-04 12:03:04,4646845581490336108,fraud_Hammes-Beatty,kids_pets,46.67,F,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25 00:00:00,41.246543,-72.477108,0,12,1
11722,2019-04-05 20:22:44,340951438290556,fraud_Dooley Inc,shopping_pos,452.8,F,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02 00:00:00,41.172657,-74.742688,0,20,1
11800,2019-04-06 08:56:37,3598215285024754,"fraud_Lind, Huel and McClure",gas_transport,61.25,F,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21 00:00:00,40.436554,-73.394847,0,8,1
11922,2019-04-07 00:30:57,4342532437704183,fraud_Padberg-Welch,grocery_pos,58.59,M,Newark Valley,NY,13811,42.2281,-76.1625,4354,Further education lecturer,1994-02-16 00:00:00,42.76855,-75.17245799999999,0,0,1
12066,2019-04-07 16:21:06,342319985983023,fraud_Kessler Inc,travel,545.8,M,Margaretville,NY,12455,42.1852,-74.6178,1988,Environmental health practitioner,1978-05-23 00:00:00,41.247053,-74.62261099999999,0,16,1
12157,2019-04-08 00:30:28,3523898249167098,fraud_McCullough Group,grocery_net,31.96,M,Bronx,NY,10463,40.8798,-73.9067,1382480,"Therapist, drama",1990-11-09 00:00:00,40.366509,-73.077158,0,0,1
12444,2019-04-09 23:51:44,30235268718158,fraud_Labadie LLC,personal_care,35.71,M,West Harrison,NY,10604,41.0592,-73.7395,11250,Lexicographer,1977-08-16 00:00:00,42.019989,-74.23899899999999,0,23,1
