trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,hour,day,month
2020-02-19 20:12:08,3551217896304745,fraud_Metz-Boehm,shopping_pos,5.66,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09,44.014358,-74.843835,0,20,19,2
2020-05-22 20:09:36,675990301623,fraud_Jast Ltd,shopping_net,8.01,F,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,1994-03-13,40.104592,-74.16115,0,20,22,5
2019-11-23 23:55:11,30029052116970,"fraud_Koss, Hansen and Lueilwitz",home,70.15,M,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,42.868719,-79.558973,0,23,23,11
2019-11-30 21:27:34,213198837352314,fraud_Nolan-Williamson,kids_pets,50.76,M,Garfield,KS,67529,38.0649,-99.2374,365,Equality and diversity officer,1991-02-03,38.133819,-99.250579,0,21,30,11
2019-03-11 23:56:59,5388659976630693,fraud_Wilkinson Ltd,entertainment,4.66,M,Seneca,WI,54654,43.2064,-90.9405,153,Quantity surveyor,1962-02-14,43.502012,-90.279663,0,23,11,3
2020-05-21 01:47:16,2450829271795901,"fraud_Olson, Becker and Koch",gas_transport,70.29,M,Sauk Rapids,MN,56379,45.604,-94.1591,16163,Hydrographic surveyor,1987-02-22,45.241418,-93.852212,0,1,21,5
2019-12-07 01:35:24,180072527505094,fraud_Spencer PLC,entertainment,60.66,M,Mooresville,NC,28117,35.584,-80.8685,69793,Control and instrumentation engineer,1953-12-08,34.973859999999995,-81.458267,0,1,7,12
2019-02-08 09:13:58,3523843138706408,fraud_Lebsack and Sons,misc_net,1.2,F,Plantersville,AL,36758,32.6176,-86.9475,1412,Drilling engineer,1970-11-20,31.742819,-87.279928,0,9,8,2
2019-07-27 02:12:52,4646845581490336108,fraud_Auer-Mosciski,grocery_pos,214.7,F,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25,41.331462,-73.047122,0,2,27,7
2019-12-30 11:04:09,4079773899158,"fraud_Robel, Cummerata and Prosacco",gas_transport,40.64,M,Mesa,ID,83643,44.6255,-116.4493,129,Cartographer,1965-12-15,44.628402,-116.140123,0,11,30,12
2019-07-04 09:57:44,3590736522064285,fraud_Halvorson Group,misc_pos,106.91,F,Bauxite,AR,72011,34.5091,-92.4828,4074,"Scientist, audiological",1975-12-20,35.066036,-92.356217,0,9,4,7
2019-06-16 02:04:37,571465035400,fraud_Hills-Witting,shopping_net,82.39,M,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1976-02-26,42.201524,-108.182838,0,2,16,6
2019-12-20 07:55:55,3597337756918966,"fraud_Schmeler, Bashirian and Price",shopping_net,2.33,F,Glen Rock,PA,17327,39.7813,-76.7477,7565,Insurance claims handler,1952-03-08,40.576414,-76.852587,0,7,20,12
2019-01-14 13:14:25,30044330818990,"fraud_Goyette, Howell and Collier",shopping_pos,3.65,F,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,1985-08-29,26.770641,-81.966275,0,13,14,1
2019-10-13 11:39:56,371985236239474,fraud_Kutch LLC,gas_transport,40.88,M,Oriskany Falls,NY,13425,42.9576,-75.4838,1970,"Programmer, multimedia",1949-06-09,42.234102,-76.18432299999999,0,11,13,10
2019-02-12 05:08:26,374497717543058,fraud_Sporer Inc,gas_transport,47.11,F,Wilton,ND,58579,47.1709,-100.7944,1190,"Designer, ceramics/pottery",1948-06-30,46.652078,-101.331777,0,5,12,2
2020-03-14 14:40:11,3531129874770000,fraud_Brown Inc,kids_pets,43.5,F,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",1975-07-13,43.440549,-72.797443,0,14,14,3
